rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name
1,100,0,0,412678,H001075,CA,,Harris
2,99,1,0.016944777,400357,S000033,VT,,Sanders
3,98,2,0.026050492,412223,G000555,NY,,Gillibrand
4,97,3,0.073308438,412325,M001176,OR,,Merkley
5,96,4,0.074523854,412598,B001288,NJ,,Booker
6,95,5,0.090611309,412200,H001042,HI,,Hirono
7,94,6,0.103489426,400253,M000133,MA,,Markey
8,93,7,0.122242581,412490,B001277,CT,,Blumenthal
9,92,8,0.138043936,412242,K000367,MN,,Klobuchar
10,91,9,0.15386643,300038,D000563,IL,,Durbin
11,90,10,0.156659087,400415,V000128,MD,,Van Hollen
12,89,11,0.159264174,300081,R000122,RI,,Reed
13,88,12,0.162093517,400050,B000944,OH,,Brown
14,87,13,0.172448707,412247,W000802,RI,,Whitehouse
15,86,14,0.17386429,300100,W000779,OR,,Wyden
16,85,15,0.179203032,412742,S001203,MN,,Smith
17,84,16,0.201255261,412194,M001169,CT,,Murphy
18,83,17,0.205667189,300065,L000174,VT,,Leahy
19,82,18,0.21183637,300043,F000062,CA,,Feinstein
20,81,19,0.214100092,300076,M001111,WA,,Murray
21,80,20,0.221703861,300093,S000770,MI,,Stabenow
22,79,21,0.223527433,412507,S001194,HI,,Schatz
23,78,22,0.2282846,400013,B001230,WI,,Baldwin
24,77,23,0.243548055,412281,H001046,NM,,Heinrich
25,76,24,0.255173973,412582,K000384,VA,,Kaine
26,75,25,0.256294098,412542,W000817,MA,,Warren
27,74,26,0.263632363,412533,D000622,IL,,Duckworth
28,73,27,0.275344362,400064,C000141,MD,,Cardin
29,72,28,0.275864491,412681,C001113,NV,,Cortez Masto
30,71,29,0.278225647,400272,M000639,NJ,,Menendez
31,70,30,0.28095263,400413,U000039,NM,,Udall
32,69,31,0.284818091,300087,S000148,NY,,Schumer
33,68,32,0.29239996,412246,C001070,PA,,Casey
34,67,33,0.311118908,300018,C000127,WA,,Cantwell
35,66,34,0.317947973,412715,R000608,NV,,Rosen
36,65,35,0.319609314,412330,B001267,CO,,Bennet
37,64,36,0.339146327,300019,C000174,DE,,Carper
38,63,37,0.344139228,412323,S001181,NH,,Shaheen
39,62,38,0.40087451,412321,W000805,VA,,Warner
40,61,39,0.423482733,412680,H001076,NH,,Hassan
41,60,40,0.424438131,412305,P000595,MI,,Peters
42,59,41,0.442666415,412390,C001088,DE,,Coons
43,58,42,0.446952815,412545,K000383,ME,,King
44,57,43,0.475743136,412244,T000464,MT,,Tester
45,56,44,0.500781043,300075,M001153,AK,,Murkowski
46,55,45,0.555209204,300089,S000320,AL,,Shelby
47,54,46,0.555629769,300025,C001035,ME,,Collins
48,53,47,0.590392272,412391,M001183,WV,,Manchin
49,52,48,0.62063205,400054,B001135,NC,,Burr
50,51,49,0.637140647,400325,P000449,OH,,Portman
