ideology,State,Name,Twitter Handle
0.0,CA-13,Barbara Lee,@RepBarbaraLee
0.028262309,IL-09,"Janice ""Jan"" D. Schakowsky",@janschakowsky
0.034267418,DC Delegate,Eleanor Holmes Norton,@EleanorNorton
0.059868036,NJ-12,Bonnie Watson Coleman,@RepBonnie
0.061171157999999996,MA-07,Ayanna Pressley,@RepPressley
0.06438538099999999,TX-18,Sheila Jackson Lee,@JacksonLeeTX18
0.07033587200000001,AZ-03,Raúl M. Grijalva,@RepRaulGrijalva
0.072226869,NY-13,Adriano Espaillat,@RepEspaillat
0.074098466,MN-05,Ilhan Omar,@Ilhan
0.07462774700000001,NM-01,Debra Haaland,@RepDebHaaland
0.07635437099999999,WI-04,Gwen Moore,@RepGwenMoore
0.08128510900000001,MI-13,Rashida Tlaib,@RepRashida
0.08168801099999999,OR-03,Earl Blumenauer,@repblumenauer
0.083132613,IL-04,"Jesús ""Chuy"" García",@RepChuyGarcia
0.08706479199999999,NY-09,Yvette D. Clarke,@RepYvetteClarke
0.09157577300000001,WA-07,Pramila Jayapal,@RepJayapal
0.094838646,NY-14,Alexandria Ocasio-Cortez,@RepAOC
0.10558504,FL-24,Frederica S. Wilson,@RepWilson
0.110339232,CA-17,Ro Khanna,@RepRoKhanna
0.11198688400000001,MA-02,James P. McGovern,@RepMcGovern
0.11369034300000001,CA-47,Alan S. Lowenthal,@RepLowenthal
0.11491176300000001,TN-09,Steve Cohen,@RepCohen
0.11832181800000001,CA-11,Mark DeSaulnier,@RepDeSaulnier
0.120740784,MD-08,Jamie Raskin,@RepRaskin
0.133996806,CA-37,Karen Bass,@RepKarenBass
0.140416294,NY-15,José E. Serrano,@RepJoseSerrano
0.141041781,CA-40,Lucille Roybal-Allard,@RepRoybalAllard
0.141178986,CA-27,Judy Chu,@RepJudyChu
0.145466829,CA-32,Grace F. Napolitano,@gracenapolitano
0.14725978,NY-10,Jerrold Nadler,@RepJerryNadler
0.152708863,FL-20,Alcee L. Hastings,@RepHastingsFL
0.159405966,CT-05,Jahana Hayes,@RepJahanaHayes
0.16092434,NY-12,Carolyn B. Maloney,@RepMaloney
0.164519,NY-05,Gregory W. Meeks,@RepGregoryMeeks
0.165519335,CA-41,Mark Takano,@RepMarkTakano
0.165859329,GA-04,"Henry C. ""Hank"" Johnson Jr.",@RepHankJohnson
0.167265006,NY-07,Nydia M. Velázquez,@NydiaVelazquez
0.167886421,WA-09,Adam Smith,@RepAdamSmith
0.16891255800000002,IN-07,André Carson,@RepAndreCarson
0.170008452,MN-04,Betty McCollum,@BettyMcCollum04
0.173118723,WI-02,Mark Pocan,@repmarkpocan
0.175041599,MI-09,Sander M. Levin,@RepAndyLevin
0.176194183,MS-02,Bennie G. Thompson,@BennieGThompson
0.176325368,CA-44,Nanette Diaz Barragán,@RepBarragan
0.177351797,FL-23,Debbie Wasserman Schultz,@RepDWStweets
0.178380565,MI-14,Brenda L. Lawrence,@RepLawrence
0.180214071,GA-05,John Lewis,@repjohnlewis
0.181730793,TX-30,Eddie Bernice Johnson,@RepEBJ
0.182897266,NY-06,Grace Meng,@RepGraceMeng
0.18542667300000001,CA-43,Maxine Waters,@RepMaxineWaters
0.187455476,IL-01,Bobby L. Rush,@RepBobbyRush
0.18881165100000002,NJ-06,"Frank Pallone, Jr.",@FrankPallone
0.19371306100000002,CA-02,Jared Huffman,@RepHuffman
0.195374143,PA-03,Dwight Evans,@RepDwightEvans
0.198913085,NY-16,Eliot L. Engel,@RepEliotEngel
0.19939300199999999,CA-28,Adam B. Schiff,@RepAdamSchiff
0.200130438,MA-04,Joseph P. Kennedy,@RepJoeKennedy
0.20055063199999998,PA-05,Mary Gay Scanlon,@RepMGS
0.201305097,MA-05,Katherine M. Clark,@RepKClark
0.201731302,CA-14,Jackie Speier,@RepSpeier
0.201788601,CA-34,Jimmy Gomez,@RepJimmyGomez
0.203687466,MI-12,Debbie Dingell,@RepDebDingell
0.203715833,OR-01,Suzanne Bonamici,@RepBonamici
0.204307391,FL-14,Kathy Castor,@USRepKCastor
0.20642266899999998,CA-26,Julia Brownley,@RepBrownley
0.20747330100000003,NJ-10,"Donald M. Payne, Jr.",@RepDonaldPayne
0.207600917,RI-01,David N. Cicilline,@davidcicilline
0.20830137399999998,NC-12,Alma S. Adams,@RepAdams
0.211321697,FL-09,Darren Soto,@RepDarrenSoto
0.21174354399999998,OH-11,Marcia L. Fudge,@RepMarciaFudge
0.211782269,FL-10,Val Butler Demings,@RepValDemings
0.214613732,TX-29,Sylvia Garcia,@RepSylviaGarcia
0.215001195,VA-03,"Robert C. ""Bobby"" Scott",@BobbyScott
0.21585105,CA-33,Ted Lieu,@RepTedLieu
0.21649458100000002,CA-29,Tony Cárdenas,@RepCardenas
0.216844533,CA-38,Linda T. Sánchez,@RepLindaSanchez
0.21931161,CT-03,Rosa L. DeLauro,@rosadelauro
0.21972857699999998,CA-09,Jerry McNerney,@RepMcNerney
0.220107534,IL-07,Danny K. Davis,@RepDannyDavis
0.220941298,PA-04,Madeleine Dean,@RepDean
0.222277819,TX-09,Al Green,@RepAlGreen
0.222291675,CA-18,Anna G. Eshoo,@RepAnnaEshoo
0.226163053,CO-01,Diana DeGette,@RepDianaDeGette
0.22783352,FL-26,Debbie Mucarsel-Powell,@RepDMP
0.23091540600000002,NM-03,Ben Ray Luján,@repbenraylujan
0.231361499,IL-02,Robin L. Kelly,@RepRobinKelly
0.23572471600000003,MD-03,John P. Sarbanes,@RepSarbanes
0.23590027800000002,VA-04,A. Donald McEachin,@RepMcEachin
0.236380895,VA-08,"Donald S. Beyer, Jr.",@RepDonBeyer
0.23768804699999999,WA-01,Suzan K. DelBene,@RepDelBene
0.23810018100000002,MO-05,Emanuel Cleaver,@repcleaver
0.240744163,TX-16,Veronica Escobar,@RepEscobar
0.242260368,LA-02,Cedric L. Richmond,@RepRichmond
0.242481146,NY-08,Hakeem S. Jeffries,@RepJeffries
0.24252676199999998,CA-45,Katie Porter,@RepKatiePorter
0.242628681,NV-04,Steven Horsford,@RepHorsford
0.243502893,NV-01,Dina Titus,@repdinatitus
0.244526925,RI-02,James R. Langevin,@JimLangevin
0.24489096,NY-20,Paul Tonko,@RepPaulTonko
0.245139241,MD-04,Anthony G. Brown,@RepAnthonyBrown
0.24535310899999999,IL-06,Sean Casten,@RepCasten
0.24631613600000002,NY-17,Nita M. Lowey,@NitaLowey
0.246632795,CA-06,Doris O. Matsui,@DorisMatsui
0.248470412,FL-27,Donna E. Shalala,@RepShalala
0.24885379,CA-51,Juan Vargas,@RepJuanVargas
0.249351498,MO-01,Wm. Lacy Clay Jr,@LacyClayMO1
0.250276497,CA-35,Norma J. Torres,@NormaJTorres
0.250339586,IL-05,Mike Quigley,@RepMikeQuigley
0.25052302600000004,KY-03,John A. Yarmuth,@RepJohnYarmuth
0.25226905,CA-15,Eric Swalwell,@RepSwalwell
0.253633145,SC-06,James E. Clyburn,@WhipClyburn
0.25387143,AZ-07,Ruben Gallego,@RepRubenGallego
0.255831593,MA-08,Stephen F. Lynch,@RepStephenLynch
0.257788687,CA-53,Susan A. Davis,@RepSusanDavis
0.25875660899999997,ME-01,Chellie Pingree,@chelliepingree
0.258935347,OH-03,Joyce Beatty,@RepBeatty
0.259890213,CA-31,Pete Aguilar,@RepPeteAguilar
0.260857985,MA-03,Lori Trahan,@RepLoriTrahan
0.26177295,CA-19,Zoe Lofgren,@RepZoeLofgren
0.262525983,VA-10,Jennifer Wexton,@RepWexton
0.26539383,CA-24,Salud O. Carbajal,@RepCarbajal
0.265396777,FL-05,"Al Lawson, Jr.",@RepAlLawsonJr
